"Order id","Invoice No","Txn ID","Txn Date",Amount,"Request ID","Request Date",UTR,"Service Fee","Total tax","Net Amount","Bank Name","Issuing Bank",CGST,IGST,SGST
39776,17-18-02-376,b62d305d285f871c307d,"2018-02-02 10:07:24",35400.00,4450623407,"2018-02-06 00:46:29",802053162939,449.58000,80.92000,34869.50000,AXIB,,0.00000,80.92000,0.00000
39777,17-18-02-377,a568595edefea537f90e,"2018-02-02 10:08:40",35400.00,4450626489,"2018-02-06 00:46:29",802053162939,449.58000,80.92000,34869.50000,SBIB,,0.00000,80.92000,0.00000
39791,,dfd74439a640e956b8cc,"2018-02-02 12:51:55",17700.00,4451006017,"2018-02-06 00:46:29",802053162939,224.79000,40.46000,17434.75000,PNBB,,0.00000,40.46000,0.00000
39799,,262e40229f8cdcf4ec40,"2018-02-02 14:39:49",29500.00,4451205183,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,HDFB,,0.00000,67.44000,0.00000
39810,,f07cf96fd435d447780e,"2018-02-02 16:28:32",17700.00,4451397479,"2018-02-06 00:46:29",802053162939,224.79000,40.46000,17434.75000,AXIB,,0.00000,40.46000,0.00000
39820,,a5e3dbc3b059d94560d2,"2018-02-02 17:58:27",29500.00,4451551469,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,AXIB,,0.00000,67.44000,0.00000
39822,17-18-02-385,f14b02b0ff44e62edf58,"2018-02-02 18:42:07",35400.00,4451635161,"2018-02-06 00:46:29",802053162939,449.58000,80.92000,34869.50000,HDFB,,0.00000,80.92000,0.00000
39827,,b9ef50d16c873272a157,"2018-02-02 20:34:58",29500.00,4451860147,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,ICIB,,0.00000,67.44000,0.00000
39830,,4c895e5fafbbaa8e2058,"2018-02-02 21:13:58",29500.00,4451941771,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,ADBB,,0.00000,67.44000,0.00000
39831,,6385b3e97b13b5231407,"2018-02-02 22:26:16",27376.00,4452072877,"2018-02-06 00:46:29",802053162939,347.68000,62.58000,26965.74000,INIB,,0.00000,62.58000,0.00000
39832,,89a8babcb530a0c924bf,"2018-02-02 22:58:01",29500.00,4452111111,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,ICIB,,0.00000,67.44000,0.00000
39835,,742b5620981459cc6aa5,"2018-02-03 09:25:48",29500.00,4452394979,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,ICIB,,0.00000,67.44000,0.00000
39836,,91b27be160794c971621,"2018-02-03 09:49:40",29500.00,4452427655,"2018-02-06 00:46:29",802053162939,309.75000,55.76000,29134.49000,MAST,HDFC,0.00000,55.76000,0.00000
39839,,aaa41cff6eb7824c6588,"2018-02-03 11:52:16",10000.00,4452657811,"2018-02-06 00:46:29",802053162939,127.00000,22.86000,9850.14000,CC,SBI,0.00000,22.86000,0.00000
39847,,f69b214386b8b9446a70,"2018-02-03 13:38:30",41300.00,4452871883,"2018-02-06 00:46:29",802053162939,524.51000,94.41000,40681.08000,CC,SBI,0.00000,94.41000,0.00000
39850,,aabca2d4fd3588cf9d57,"2018-02-03 13:58:20",10000.00,4452912877,"2018-02-06 00:46:29",802053162939,127.00000,22.86000,9850.14000,CC,SBI,0.00000,22.86000,0.00000
39851,,916d27cfe3d33aa0665e,"2018-02-03 14:32:39",29500.00,4452985527,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,CC,AXIS,0.00000,67.44000,0.00000
39853,17-18-02-389,d8cfa70578635efaec3a,"2018-02-03 15:06:58",1180.00,4453059217,"2018-02-06 00:46:29",802053162939,14.62000,0.00000,1165.38000,MAST,AXIS,0.00000,0.00000,0.00000
39857,17-18-02-390,cf0de6c09cf2fd598954,"2018-02-03 16:05:49",23600.00,4453157379,"2018-02-06 00:46:29",802053162939,299.72000,53.95000,23246.33000,CC,CITI,0.00000,53.95000,0.00000
39865,,d1dff7e5ff8809846d48,"2018-02-03 16:24:31",17700.00,4453192831,"2018-02-06 00:46:29",802053162939,224.79000,40.46000,17434.75000,CC,AXIS,0.00000,40.46000,0.00000
39867,,1eb8c7f0d29953a45287,"2018-02-03 16:56:11",29500.00,4453247797,"2018-02-06 00:46:29",802053162939,374.65000,67.44000,29057.91000,CC,SCB,0.00000,67.44000,0.00000
