"Order id","Invoice No","Txn ID","Txn Date",Amount,"Request ID","Request Date",UTR,"Service Fee","Total tax","Net Amount","Bank Name","Issuing Bank",CGST,IGST,SGST
39186,,b34e620731306a37973f,"2018-01-23 10:17:11",17700.00,4433082013,"2018-01-25 22:56:52",801253901305,224.79000,40.46000,17434.75000,AXIB,,0.00000,40.46000,0.00000
39187,,526de5a1742348fb4f42,"2018-01-23 10:28:41",17700.00,4433100459,"2018-01-25 22:56:52",801253901305,224.79000,40.46000,17434.75000,ICIB,,0.00000,40.46000,0.00000
39210,17-18-01-250,4b6e5a23df1b5d00d64b,"2018-01-23 13:24:28",41300.00,4433470665,"2018-01-25 22:56:52",801253901305,524.51000,94.41000,40681.08000,ICIB,,0.00000,94.41000,0.00000
39213,17-18-01-252,615cc17d55895e660c83,"2018-01-23 13:53:01",47200.00,4433528277,"2018-01-25 22:56:52",801253901305,495.60000,89.21000,46615.19000,SMAE,SBI,0.00000,89.21000,0.00000
39215,17-18-01-253,7bd5aa1170ee354bb12c,"2018-01-23 14:27:45",17700.00,4433593201,"2018-01-25 22:56:52",801253901305,224.79000,40.46000,17434.75000,SBIB,,0.00000,40.46000,0.00000
39216,,d8daf2bb0628eaf84717,"2018-01-23 14:28:50",10000.00,4433594253,"2018-01-25 22:56:52",801253901305,127.00000,22.86000,9850.14000,CPNB,,0.00000,22.86000,0.00000
39219,,636fde3be60f33c5139c,"2018-01-23 15:19:11",17700.00,4433684341,"2018-01-25 22:56:52",801253901305,224.79000,40.46000,17434.75000,HDFB,,0.00000,40.46000,0.00000
39223,,286c3cbdd749c20e374e,"2018-01-23 16:14:43",10000.00,4433786203,"2018-01-25 22:56:52",801253901305,127.00000,22.86000,9850.14000,SBIB,,0.00000,22.86000,0.00000
39234,,ebc26dd721de0c28b2b6,"2018-01-23 19:31:08",10000.00,4434165733,"2018-01-25 22:56:52",801253901305,127.00000,22.86000,9850.14000,HDFB,,0.00000,22.86000,0.00000
39236,17-18-01-256,339c609c7034528ba97a,"2018-01-23 19:54:45",35400.00,4434217499,"2018-01-25 22:56:52",801253901305,449.58000,80.92000,34869.50000,ICIB,,0.00000,80.92000,0.00000
39243,17-18-01-258,f134b674fcadc9cd1917,"2018-01-23 22:10:07",41300.00,4434486965,"2018-01-25 22:56:52",801253901305,524.51000,94.41000,40681.08000,IDBB,,0.00000,94.41000,0.00000
39249,17-18-01-259,b6875f980ba433888347,"2018-01-24 10:16:24",35400.00,4434968159,"2018-01-25 22:56:52",801253901305,371.70000,66.91000,34961.39000,VISA,ICICI,0.00000,66.91000,0.00000
39258,,83afccd4a3557038e279,"2018-01-24 10:54:35",35400.00,4435049637,"2018-01-25 22:56:52",801253901305,708.00000,127.44000,34564.56000,AMEX,,0.00000,127.44000,0.00000
39260,,24b582fd3dd757455d9e,"2018-01-24 10:57:32",41300.00,4435069271,"2018-01-25 22:56:52",801253901305,524.51000,94.41000,40681.08000,CC,CITI,0.00000,94.41000,0.00000
39261,,9106f8b48dd1753a448e,"2018-01-24 11:11:19",35400.00,4435081089,"2018-01-25 22:56:52",801253901305,449.58000,80.92000,34869.50000,CC,HDFC,0.00000,80.92000,0.00000
39263,17-18-01-260,c55c841914ccd05784c9,"2018-01-24 11:31:00",35400.00,4435126753,"2018-01-25 22:56:52",801253901305,449.58000,80.92000,34869.50000,CC,SBI,0.00000,80.92000,0.00000
39265,,881b8c9f3674db998dd4,"2018-01-24 11:47:16",10000.00,4435152869,"2018-01-25 22:56:52",801253901305,127.00000,22.86000,9850.14000,CC,SBI,0.00000,22.86000,0.00000
39266,17-18-01-261,21cad9bf763995e445a3,"2018-01-24 11:47:19",35400.00,4435151537,"2018-01-25 22:56:52",801253901305,449.58000,80.92000,34869.50000,CC,HDFC,0.00000,80.92000,0.00000
39268,17-18-01-262,0710e710c58b7f529491,"2018-01-24 12:02:52",35400.00,4435184485,"2018-01-25 22:56:52",801253901305,449.58000,80.92000,34869.50000,CC,HDFC,0.00000,80.92000,0.00000
